zcmb,zhel,mb,e_mb,x1,e_x1,c,e_c,logMst
0.168,0.1694,20.174,0.117,-0.58,0.345,-0.062,0.032,10.467
0.123,0.1242,19.971,0.12,-0.873,0.236,0.057,0.035,10.428
0.22,0.221,20.856,0.116,1.253,0.342,-0.04,0.035,9.62
0.145,0.146,20.467,0.114,-1.923,0.195,0.038,0.032,8.378
0.297,0.2983,21.382,0.118,0.079,0.535,-0.096,0.042,10.509
0.353,0.355,21.771,0.125,0.552,0.768,-0.066,0.055,5.0
0.13,0.131,19.866,0.114,-1.624,0.175,-0.087,0.028,10.832
0.149,0.1504,19.972,0.112,1.117,0.165,-0.027,0.023,9.589
0.015,0.0151,15.489,0.154,-0.698,0.035,0.148,0.019,10.934
0.025,0.0259,15.798,0.143,-0.658,0.116,-0.061,0.026,9.705
0.16,0.1619,20.36,0.113,-0.229,0.15,0.016,0.027,8.995
0.085,0.0865,18.717,0.128,-0.471,0.186,-0.087,0.035,10.83
0.326,0.328,21.645,0.119,0.909,0.762,-0.073,0.042,10.755
0.035,0.036,16.665,0.141,-0.028,0.134,-0.01,0.028,10.43
0.011,0.0116,14.557,0.169,-0.316,0.184,0.054,0.023,10.47
0.024,0.0241,16.15,0.143,-1.29,0.114,-0.002,0.023,10.589
0.024,0.024,16.068,0.144,0.761,0.046,0.052,0.026,6.0
0.03,0.0308,16.85,0.142,-0.334,0.176,-0.031,0.026,6.0
0.032,0.031,16.581,0.141,-1.381,0.064,-0.048,0.027,10.736
0.03,0.03,16.684,0.141,-1.233,0.147,-0.042,0.023,10.946
0.013,0.013,14.883,0.159,-0.925,0.057,0.047,0.021,10.286
0.015,0.0149,14.835,0.154,-1.282,0.032,-0.13,0.022,10.843
0.126,0.1266,20.043,0.113,-0.969,0.14,0.106,0.028,9.881
0.194,0.1949,20.982,0.117,0.35,0.361,0.072,0.035,10.634
0.132,0.133,20.147,0.112,0.248,0.143,-0.001,0.024,8.938
0.143,0.1437,19.815,0.112,0.863,0.133,-0.049,0.023,9.918
0.3,0.3009,21.702,0.129,0.261,0.553,-0.031,0.055,8.701
0.067,0.0671,18.64,0.113,-0.421,0.108,0.108,0.025,9.944
0.13,0.131,19.653,0.147,-0.839,0.287,-0.198,0.05,10.785
0.159,0.1599,19.908,0.112,0.971,0.165,-0.006,0.023,10.398
0.118,0.119,19.437,0.112,1.291,0.112,-0.047,0.022,8.922
0.177,0.1771,20.179,0.113,0.225,0.14,-0.118,0.025,9.807
0.181,0.1814,20.579,0.118,0.283,0.417,0.015,0.037,11.24
0.218,0.219,21.099,0.116,0.501,0.367,-0.003,0.037,9.888
0.306,0.307,21.734,0.127,-0.084,0.592,-0.087,0.056,10.901
0.037,0.0371,17.321,0.115,-0.728,0.077,0.06,0.022,9.099
0.123,0.1232,19.509,0.112,0.758,0.109,-0.013,0.022,10.535
0.291,0.292,21.542,0.121,0.64,0.499,-0.044,0.046,9.565
0.244,0.2451,20.798,0.115,1.038,0.301,-0.08,0.035,8.91
0.124,0.125,19.954,0.113,0.657,0.429,0.044,0.029,10.124
0.278,0.279,21.278,0.117,1.316,0.411,-0.088,0.039,10.63
0.18,0.1811,20.229,0.113,-0.309,0.169,-0.069,0.026,10.514
0.181,0.1819,20.192,0.112,1.561,0.181,-0.041,0.024,10.223
0.116,0.117,19.463,0.112,1.194,0.134,-0.016,0.022,8.604
0.29,0.291,21.341,0.117,-0.094,0.757,-0.124,0.039,5.0
0.127,0.1278,19.701,0.112,0.248,0.144,-0.028,0.022,10.246
0.213,0.214,21.241,0.118,-0.59,0.377,0.113,0.04,10.489
0.176,0.177,20.591,0.113,0.47,0.242,-0.012,0.027,10.706
0.117,0.1181,19.785,0.113,-0.083,0.115,0.04,0.024,10.574
0.268,0.269,21.594,0.122,-1.096,0.456,-0.073,0.049,9.986
0.212,0.213,21.093,0.115,-0.176,0.241,0.031,0.033,10.726
0.129,0.1298,20.337,0.116,-2.529,0.2,0.051,0.037,10.456
0.128,0.129,19.748,0.112,-1.173,0.179,-0.077,0.024,10.933
0.211,0.2115,20.481,0.114,1.125,0.266,-0.058,0.032,10.943
0.245,0.246,20.754,0.114,1.113,0.264,-0.109,0.034,5.0
0.027,0.0263,15.923,0.141,-0.449,0.028,-0.118,0.019,11.025
0.03,0.0294,16.215,0.142,0.143,0.101,-0.124,0.04,10.976
0.014,0.0139,15.639,0.155,-1.163,0.108,0.205,0.02,10.358
0.017,0.0167,14.998,0.149,0.153,0.019,-0.105,0.018,8.933
0.078,0.077,18.421,0.138,0.601,0.225,-0.055,0.032,6.0
0.025,0.0232,16.312,0.145,-1.526,0.118,0.057,0.031,11.038
0.039,0.038,16.774,0.14,2.022,0.127,-0.049,0.027,7.256
0.742,0.74,24.094,0.103,0.358,0.4,-0.202,0.071,10.991
0.452,0.45,22.903,0.088,-1.588,0.173,0.028,0.034,10.246
0.746,0.7441,23.856,0.096,0.789,0.314,-0.024,0.053,6.0
0.359,0.357,22.425,0.086,0.094,0.102,0.061,0.026,8.386
0.35,0.348,22.51,0.09,-1.797,0.126,0.085,0.03,10.96
0.185,0.184,20.759,0.086,-0.075,0.048,0.001,0.024,9.21
0.554,0.552,23.411,0.092,0.012,0.398,-0.032,0.038,11.193
0.576,0.574,23.653,0.092,0.172,0.271,0.034,0.036,10.244
0.125,0.124,19.752,0.086,-0.357,0.055,-0.019,0.025,9.74
0.444,0.442,22.995,0.092,-1.632,0.248,-0.014,0.039,10.905
0.352,0.35,22.685,0.086,-0.674,0.164,0.037,0.025,10.977
0.523,0.521,23.329,0.089,1.14,0.202,0.018,0.036,9.326
0.371,0.369,22.463,0.096,-0.862,0.218,-0.014,0.035,10.809
0.702,0.7,23.958,0.095,0.509,0.311,-0.013,0.051,8.033
0.736,0.734,24.384,0.105,0.32,0.467,0.099,0.07,9.761
0.622,0.62,23.581,0.092,-0.297,0.57,-0.044,0.048,7.542
0.922,0.92,24.664,0.117,-0.434,0.622,0.027,0.094,10.277
0.512,0.51,22.907,0.089,1.238,0.221,-0.117,0.029,7.738
0.325,0.323,21.993,0.086,-0.147,0.085,-0.04,0.022,10.098
0.838,0.836,24.338,0.114,-1.314,1.142,-0.09,0.083,9.642
0.476,0.474,22.715,0.088,-0.007,0.124,-0.104,0.025,8.838
0.926,0.924,24.811,0.111,1.139,0.646,0.056,0.068,8.557
0.842,0.84,24.283,0.112,1.261,0.69,-0.059,0.073,9.051
0.642,0.64,23.678,0.093,-0.211,0.215,-0.103,0.054,9.997
0.592,0.59,23.386,0.09,1.581,0.174,0.023,0.034,9.097
0.419,0.417,22.469,0.088,1.143,0.165,-0.013,0.025,8.815
0.355,0.3537,22.387,0.088,1.277,0.187,0.014,0.025,8.657
0.501,0.499,23.277,0.089,0.471,0.277,0.005,0.032,8.617
0.533,0.531,23.313,0.09,1.278,0.354,0.049,0.032,9.808
0.632,0.63,23.606,0.098,-0.931,0.247,0.078,0.067,10.977
0.61,0.608,23.928,0.092,0.149,0.375,0.064,0.042,9.418
0.759,0.757,24.107,0.096,1.513,0.307,-0.013,0.052,9.054
0.702,0.7,24.227,0.1,-1.908,0.419,0.041,0.085,6.0
0.417,0.415,22.547,0.087,0.385,0.128,-0.05,0.028,10.235
0.536,0.534,22.992,0.091,0.881,0.271,-0.056,0.032,8.676
0.429,0.427,23.397,0.089,0.901,0.192,0.159,0.029,9.534
0.534,0.532,23.455,0.095,-0.552,0.327,0.082,0.05,10.87
0.893,0.891,24.576,0.106,1.324,0.493,-0.028,0.063,9.413
0.932,0.93,24.775,0.13,0.258,0.959,0.023,0.093,7.908
0.7,0.698,24.456,0.097,-2.642,0.471,0.006,0.07,10.941
0.515,0.513,23.777,0.09,1.541,0.225,0.156,0.035,9.548
0.983,0.981,24.667,0.115,1.177,0.468,-0.036,0.059,10.595
0.481,0.479,22.671,0.088,1.124,0.112,-0.054,0.025,11.153
0.734,0.732,24.212,0.103,-1.352,0.413,-0.141,0.086,8.834
0.922,0.92,24.38,0.118,-0.311,0.475,-0.138,0.063,9.144
0.735,0.733,24.001,0.096,0.836,0.315,-0.076,0.058,10.875
0.872,0.87,24.427,0.119,-0.743,0.582,-0.196,0.058,6.0
0.682,0.68,23.499,0.094,0.541,0.258,-0.151,0.05,6.0
0.35,0.348,22.228,0.087,-0.09,0.139,-0.075,0.026,9.287
0.822,0.82,24.189,0.105,2.0,0.924,-0.005,0.076,11.326
0.069,0.0678,18.394,0.145,-1.409,0.273,-0.12,0.036,10.249
0.02,0.0196,15.542,0.145,-1.388,0.03,-0.097,0.02,11.18
0.033,0.0323,17.37,0.143,-0.987,0.239,0.173,0.029,10.446
0.065,0.064,18.095,0.14,0.646,0.209,-0.045,0.029,7.989
0.028,0.0254,16.068,0.144,0.744,0.394,-0.093,0.043,10.389
0.047,0.0459,17.453,0.137,1.334,0.058,0.078,0.02,10.225
0.025,0.0231,15.866,0.142,0.397,0.056,-0.033,0.019,10.157
0.022,0.0213,15.719,0.145,0.431,0.069,-0.038,0.021,11.212
0.023,0.0223,16.025,0.144,0.353,0.075,0.097,0.022,10.103
0.019,0.0181,15.893,0.149,-2.724,0.099,0.027,0.028,11.117
0.022,0.0208,15.902,0.146,-1.224,0.081,-0.014,0.029,10.814
0.033,0.031,17.001,0.14,0.399,0.136,0.073,0.023,9.35
0.016,0.015,14.557,0.153,0.917,0.078,-0.038,0.022,10.842
0.016,0.0152,14.78,0.155,0.222,0.189,-0.065,0.031,10.452
0.138,0.1392,19.659,0.112,0.68,0.144,-0.079,0.022,8.724
0.146,0.1472,20.062,0.117,1.887,0.405,0.022,0.032,10.785
0.199,0.2,20.52,0.124,-0.444,0.715,-0.076,0.046,10.07
0.152,0.153,19.681,0.112,0.507,0.14,-0.13,0.023,9.275
0.094,0.095,19.177,0.114,-1.123,0.13,-0.085,0.025,10.016
0.174,0.175,21.032,0.122,-1.454,0.358,0.114,0.044,11.175
0.183,0.184,20.867,0.115,1.016,0.333,0.073,0.032,10.083
0.186,0.187,20.479,0.115,0.747,0.26,-0.062,0.029,11.56
0.38,0.3812,21.923,0.119,1.317,0.633,-0.103,0.043,11.183
0.094,0.0951,18.639,0.113,1.272,0.196,-0.111,0.022,8.774
0.306,0.307,21.588,0.146,-1.955,0.844,-0.058,0.072,10.972
0.163,0.164,20.751,0.114,-1.192,0.513,0.024,0.032,5.0
0.014,0.014,14.686,0.158,-1.295,0.071,-0.093,0.023,11.114
0.145,0.1464,20.061,0.119,0.716,0.441,0.015,0.038,10.704
0.242,0.243,20.842,0.115,1.302,0.272,-0.119,0.036,5.0
0.299,0.3001,21.522,0.124,0.359,0.713,-0.151,0.051,5.0
0.178,0.179,20.153,0.113,0.289,0.167,-0.107,0.026,9.886
0.139,0.1397,19.897,0.117,-0.558,0.379,-0.064,0.032,10.896
0.266,0.267,20.926,0.115,-0.091,0.363,-0.194,0.037,9.785
0.079,0.0799,19.15,0.118,-0.561,0.261,0.096,0.03,10.59
0.01,0.0095,14.148,0.175,0.203,0.068,0.049,0.026,9.917
0.017,0.0176,15.122,0.151,-0.177,0.117,0.0,0.025,11.003
0.03,0.0307,16.24,0.143,0.475,0.175,-0.046,0.03,10.798
0.016,0.0155,14.712,0.153,0.549,0.083,-0.033,0.022,10.205
0.024,0.0235,16.554,0.144,-2.507,0.155,0.087,0.026,10.962
0.027,0.027,16.504,0.142,-0.138,0.061,0.105,0.02,10.52
0.042,0.045,17.625,0.141,-0.011,0.152,0.047,0.046,10.543
0.063,0.0637,18.293,0.141,-0.176,0.134,-0.032,0.048,10.918
0.019,0.0185,15.784,0.149,-2.014,0.066,-0.043,0.029,10.456
0.021,0.0202,15.117,0.147,0.736,0.09,-0.11,0.026,9.916
1.299,1.3,25.691,0.128,0.664,0.358,0.01,0.037,9.381
0.974,0.975,24.886,0.118,1.716,0.295,-0.005,0.044,9.317
0.079,0.0793,18.314,0.139,-0.955,0.125,-0.101,0.05,10.876
0.029,0.029,16.285,0.141,1.425,0.077,-0.024,0.022,10.552
0.124,0.1245,19.609,0.112,0.119,0.13,-0.004,0.022,10.528
0.183,0.184,20.273,0.114,0.88,0.228,-0.038,0.027,11.198
0.035,0.0352,16.755,0.145,-0.464,0.12,-0.047,0.045,10.712
0.049,0.049,17.841,0.14,-0.83,0.145,0.06,0.047,10.73
0.07,0.069,18.445,0.146,-0.439,0.294,0.016,0.057,10.497
0.055,0.0539,17.892,0.144,0.258,0.348,-0.02,0.037,10.363
0.01,0.0094,14.157,0.174,-0.117,0.083,0.022,0.025,9.709
0.036,0.035,16.778,0.142,-0.962,0.474,0.0,0.024,11.317
0.016,0.0154,15.048,0.153,0.167,0.069,0.041,0.024,10.697
0.053,0.051,17.645,0.14,-0.706,0.092,-0.081,0.045,10.06
0.023,0.0236,15.581,0.144,0.478,0.083,-0.097,0.024,9.418
0.024,0.0242,16.696,0.146,-2.161,0.067,0.111,0.029,10.778
0.012,0.0124,14.876,0.161,-1.181,0.028,-0.091,0.019,10.692
0.025,0.025,16.317,0.148,0.113,0.308,0.126,0.052,10.532
0.011,0.0109,14.343,0.167,-1.649,0.032,-0.083,0.019,10.915
0.05,0.0503,17.762,0.139,-2.27,0.112,-0.049,0.044,10.702
0.015,0.0155,15.286,0.154,-0.549,0.04,0.129,0.024,10.336
0.075,0.075,18.466,0.142,-0.709,0.155,-0.022,0.054,10.308
0.014,0.0146,14.476,0.157,-0.167,0.084,-0.108,0.027,10.043
0.042,0.0437,17.348,0.143,-1.714,0.088,-0.045,0.046,10.917
0.014,0.0146,15.284,0.157,-0.865,0.069,0.163,0.027,10.921
0.587,0.589,23.614,0.091,0.086,0.236,-0.006,0.041,10.23
0.59,0.592,23.431,0.093,1.001,0.435,0.012,0.04,10.162
0.697,0.699,23.589,0.093,0.976,0.218,-0.138,0.053,10.994
0.627,0.629,23.513,0.092,0.954,0.194,-0.034,0.051,8.305
0.853,0.855,24.433,0.102,0.333,0.34,-0.008,0.062,9.994
0.698,0.7,23.73,0.102,0.679,0.413,-0.098,0.072,8.544
0.808,0.81,24.608,0.102,-0.415,0.39,-0.126,0.066,8.321
0.699,0.701,24.107,0.095,0.169,0.297,0.06,0.057,9.265
0.699,0.701,23.733,0.094,0.688,0.269,-0.122,0.056,10.554
0.603,0.605,23.829,0.092,-1.558,0.21,-0.066,0.037,10.437
0.638,0.64,23.888,0.098,0.489,0.478,0.096,0.061,8.381
0.878,0.88,24.329,0.103,1.742,0.436,-0.113,0.06,7.844
0.685,0.687,24.118,0.098,-0.866,0.39,-0.011,0.073,9.325
0.583,0.585,23.713,0.091,0.227,0.175,-0.026,0.036,10.133
0.4,0.402,22.587,0.088,-0.725,0.122,-0.005,0.026,10.543
0.466,0.468,23.79,0.09,0.377,0.333,0.122,0.043,9.464
0.773,0.775,24.049,0.099,1.04,0.39,-0.14,0.066,9.109
0.497,0.499,23.103,0.089,0.145,0.233,-0.026,0.031,8.986
0.693,0.695,24.032,0.1,-1.764,0.385,-0.077,0.085,10.389
0.84,0.842,24.191,0.104,1.23,0.774,0.07,0.073,8.467
1.029,1.031,24.589,0.125,1.103,0.424,-0.142,0.061,10.785
0.435,0.437,22.524,0.087,-0.396,0.095,-0.047,0.023,10.627
0.701,0.703,23.921,0.095,0.015,0.236,-0.108,0.059,9.475
0.608,0.61,23.245,0.091,1.138,0.183,-0.098,0.036,5.294
0.73,0.732,23.905,0.097,0.682,0.261,0.013,0.062,9.276
0.534,0.536,23.295,0.09,0.263,0.178,0.07,0.032,10.855
0.269,0.27,21.058,0.086,1.151,0.085,-0.08,0.023,6.0
0.611,0.613,24.015,0.095,-0.361,0.403,0.02,0.042,10.541
0.864,0.866,24.398,0.104,1.338,0.417,-0.007,0.06,10.931
0.788,0.79,23.976,0.096,1.396,0.212,-0.109,0.05,8.98
0.409,0.411,22.557,0.087,0.431,0.095,-0.037,0.022,9.107
0.934,0.936,24.816,0.127,0.846,0.645,0.039,0.084,8.528
0.932,0.934,24.399,0.111,0.318,0.345,-0.214,0.053,10.855
0.625,0.627,23.387,0.091,1.128,0.184,-0.043,0.05,9.414
0.959,0.961,24.773,0.125,-0.702,0.394,-0.2,0.064,11.226
0.371,0.372,22.212,0.086,0.254,0.07,-0.066,0.023,9.047
0.837,0.839,24.189,0.101,0.283,0.271,-0.158,0.058,11.277
0.998,1.0,24.529,0.116,1.177,0.387,-0.087,0.054,9.333
0.507,0.509,23.559,0.089,0.885,0.18,0.168,0.031,10.285
0.72,0.722,24.235,0.098,-1.102,0.289,-0.027,0.064,10.883
0.548,0.55,23.337,0.091,0.649,0.262,0.101,0.039,8.706
0.632,0.634,23.739,0.093,0.209,0.33,-0.051,0.067,8.751
0.374,0.375,22.145,0.087,-0.833,0.104,-0.129,0.025,10.503
0.284,0.285,21.257,0.087,0.937,0.105,-0.085,0.023,10.628
0.578,0.58,23.324,0.09,0.509,0.312,-0.036,0.038,7.638
0.405,0.407,22.802,0.087,-0.989,0.107,-0.048,0.025,10.429
0.947,0.949,24.46,0.115,-0.096,0.673,0.057,0.065,11.008
0.806,0.808,24.466,0.105,0.029,0.462,0.037,0.069,8.984
0.925,0.927,24.706,0.125,0.863,0.64,-0.058,0.072,9.705
0.302,0.303,21.442,0.086,0.519,0.063,-0.162,0.022,9.381
0.897,0.899,24.333,0.11,1.454,0.416,-0.084,0.064,9.879
0.749,0.751,23.83,0.096,0.937,0.237,0.033,0.06,11.199
0.468,0.47,22.635,0.087,1.528,0.121,-0.063,0.027,8.024
0.928,0.93,24.76,0.121,0.086,0.452,-0.114,0.069,8.357
0.761,0.763,24.082,0.096,1.043,0.245,-0.017,0.058,10.461
0.789,0.791,24.222,0.1,0.784,0.472,-0.043,0.066,10.005
0.55,0.552,23.22,0.089,0.769,0.177,-0.043,0.03,9.96
0.47,0.472,23.759,0.088,0.448,0.224,0.153,0.035,9.239
0.535,0.537,22.872,0.089,0.908,0.131,-0.145,0.029,9.44
0.422,0.424,22.726,0.088,1.237,0.139,0.083,0.027,10.057
0.767,0.769,24.198,0.101,0.681,0.449,-0.174,0.061,10.324
0.372,0.373,22.438,0.086,-0.701,0.088,-0.051,0.023,8.381
0.809,0.811,24.395,0.102,-0.266,0.32,0.003,0.062,8.977
0.514,0.516,22.881,0.089,1.531,0.147,-0.07,0.029,9.101
0.848,0.85,24.196,0.111,1.752,0.571,-0.109,0.062,8.861
0.138,0.1393,19.555,0.112,0.567,0.166,-0.096,0.023,10.756
